wavelength_nm,cie_v_lambda,bpw34_relative_response
447.42,0.03357,0.12338
447.63,0.03392,0.12374
447.84,0.03426,0.1241
448.05,0.03461,0.12447
448.26,0.03496,0.12483
448.47,0.03532,0.12519
448.68,0.03568,0.12555
448.89,0.03604,0.12591
449.1,0.0364,0.12627
449.31,0.03678,0.12663
449.52,0.03715,0.12699
449.73,0.03752,0.12735
449.94,0.03789,0.12772
450.15,0.03828,0.12808
450.36,0.03866,0.12844
450.57,0.03905,0.1288
450.78,0.03944,0.12916
450.99,0.03983,0.12952
451.2,0.04023,0.12988
451.41,0.04063,0.13024
451.62,0.04104,0.1306
451.83,0.04144,0.13096
452.04,0.04185,0.13133
452.25,0.04227,0.13169
452.46,0.04269,0.13205
452.67,0.04311,0.13241
452.87,0.04351,0.13275
453.08,0.04393,0.13311
453.29,0.04437,0.13347
453.5,0.0448,0.13384
453.71,0.04524,0.1342
453.92,0.04568,0.13456
454.13,0.04612,0.13492
454.34,0.04658,0.13528
454.55,0.04703,0.13564
454.76,0.04748,0.136
454.97,0.04794,0.13636
455.18,0.0484,0.13672
455.39,0.04888,0.13708
455.6,0.04935,0.13745
455.81,0.04982,0.13781
456.01,0.05027,0.13815
456.22,0.05076,0.13851
456.43,0.05125,0.13887
456.64,0.05173,0.13923
456.85,0.05222,0.13959
457.06,0.05272,0.13996
457.27,0.05322,0.14032
457.48,0.05373,0.14068
457.69,0.05423,0.14104
457.9,0.05474,0.1414
458.11,0.05525,0.14176
458.32,0.05577,0.14212
458.52,0.05627,0.14247
458.73,0.05679,0.14283
458.94,0.05731,0.14319
459.15,0.05784,0.14355
459.36,0.05837,0.14391
459.57,0.05891,0.14427
459.78,0.05944,0.14463
459.99,0.05997,0.14499
460.2,0.06052,0.14535
460.41,0.06107,0.14571
460.61,0.06159,0.14606
460.82,0.06213,0.14642
461.03,0.06268,0.14678
461.24,0.06324,0.14714
461.45,0.06381,0.1475
461.66,0.06437,0.14786
461.87,0.06493,0.14822
462.08,0.0655,0.14859
462.29,0.06608,0.14895
462.49,0.06663,0.14929
462.7,0.06721,0.14965
462.91,0.06779,0.15001
463.12,0.06839,0.15037
463.33,0.06899,0.15073
463.54,0.06959,0.1511
463.75,0.07019,0.15146
463.95,0.07077,0.1518
464.16,0.07139,0.15216
464.37,0.07202,0.15252
464.58,0.07264,0.15288
464.79,0.07327,0.15324
465,0.0739,0.15361
465.21,0.07455,0.15397
465.42,0.07521,0.15433
